treatment,seed,date,avg_market_price,avg_price_increase,total_consumer_payment_increase,avg_load,prompt_profit_minus_compliance,mean_reasoning_profit_minus_compliance
tarj_compliance,5,2020-07-07,33.69357663354167,4.284327821041666,558124.5604890179,4619.287499999999,-0.1343623918546908,-0.007961214353476121
tarj_compliance,1,2020-07-03,50.227571359125,13.793792071624999,2154885.9699227978,5337.145833333333,-0.1343623918546908,-0.00591800073997568
tarj_compliance,1,2020-07-04,44.849318366958336,10.188435334458333,1579506.0256361705,5193.141666666666,-0.1343623918546908,-0.016072427546308422
tarj_compliance,1,2020-07-05,36.837718134125005,4.127895606625,605657.2578565666,4974.675,-0.1343623918546908,-0.01157954585072494
tarj_compliance,1,2020-07-06,36.538475079499996,4.283457292,625761.75126383,5019.170833333333,-0.1343623918546908,-0.01359805305669004
tarj_compliance,1,2020-07-07,31.290170179916668,1.8809213674166667,248901.4365483984,4619.287499999999,-0.1343623918546908,-0.00843655206709006
tarj_compliance,2,2020-07-01,43.24532250000001,9.065968844999999,1412576.8799787615,5157.7625,-0.1343623918546908,-0.011026211815246701
tarj_compliance,2,2020-07-02,46.14899485625,10.34462127375,1652780.520921234,5265.720833333334,-0.1343623918546908,-0.0038851837136150815
tarj_compliance,2,2020-07-03,48.03567328,11.6018939925,1855896.4358795416,5337.145833333333,-0.1343623918546908,-0.004243585944996359
tarj_compliance,2,2020-07-04,44.14561884875,9.48473581625,1475286.6393407565,5193.141666666666,-0.1343623918546908,-0.018977466640138878
tarj_compliance,2,2020-07-05,36.18248671125,3.4726641837499987,511279.49974407593,4974.675,-0.1343623918546908,-0.012326355951167118
tarj_compliance,2,2020-07-06,35.136433045,2.8814152574999987,420189.70418164576,5019.170833333333,-0.1343623918546908,1.8787664742599824e-05
tarj_compliance,2,2020-07-07,31.640490004916668,2.2312411924166664,295449.14010003716,4619.287499999999,-0.1343623918546908,-0.0014563172162690402
tarj_compliance,3,2020-07-01,42.11673296,7.937379305,1239501.8963151015,5157.7625,-0.1343623918546908,-0.019756181815674078
tarj_compliance,3,2020-07-02,45.690132830375,9.885759247874999,1584465.2981726888,5265.720833333334,-0.1343623918546908,-0.005119198929534939
tarj_compliance,3,2020-07-04,44.501388560875,9.840505528375,1515092.0160055035,5193.141666666666,-0.1343623918546908,-0.00389235272686606
tarj_compliance,3,2020-07-05,36.56858483775,3.85876231025,563043.9304489464,4974.675,-0.1343623918546908,-0.02038411914863226
tarj_compliance,3,2020-07-06,35.412776659375,3.1577588718749996,456807.1163505685,5019.170833333333,-0.1343623918546908,-0.0005367015651067397
tarj_compliance,5,2020-07-06,35.85855171125,3.6035339237499997,528358.5358899089,5019.170833333333,-0.1343623918546908,-0.016893170248162538
