treatment,bin,n,mean_reasoning_profit_orientation,mean_average_markup,sem_average_markup,x_min,x_max
tarj_compliance,0,22,-0.055206189573221744,1.1593749999999998,0.017253680960127943,-0.0825247407127341,-0.0438402947603039
tarj_compliance,1,22,-0.03548394293603371,1.1437499999999998,0.018087439935089853,-0.0434054874674507,-0.0308112588938028
tarj_compliance,2,22,-0.023546874692421536,1.1367424242424242,0.0142816569760925,-0.0291033726569162,-0.0185801084976975
tarj_compliance,3,22,-0.014049714436907924,1.1425189393939394,0.015099016755838482,-0.0178153974050946,-0.0102016372637073
tarj_compliance,4,21,-0.005495512098575128,1.1387896825396824,0.013198471756780697,-0.0099423085955762,-0.0026389110399155
tarj_compliance,5,22,0.0022542655917189634,1.15625,0.012074902517340289,-0.0025204824159947,0.0067182311731193
tarj_compliance,6,22,0.01217406219079329,1.137405303030303,0.016251408988619924,0.0068475979361789,0.0192961458400007
tarj_compliance,7,22,0.032828145791818156,1.1399621212121211,0.015149316669504665,0.019548814054012,0.0479850275471152
tarj_balanced_profit_compliance,0,22,-0.022707707782596072,1.658806818181818,0.058497040792302814,-0.0502268916782497,-0.0074902635779883
tarj_balanced_profit_compliance,1,22,0.0012764576993866228,1.5989583333333335,0.04660465975271342,-0.0065086755868417,0.006124332577762
tarj_balanced_profit_compliance,2,22,0.013164212181200653,1.5845643939393943,0.044573828716680725,0.0065814158971743,0.018945708123532
tarj_balanced_profit_compliance,3,22,0.024090172614913752,1.6260416666666666,0.04472344968088695,0.019067361324373,0.029394741276881
tarj_balanced_profit_compliance,4,21,0.03329149824531423,1.5350198412698413,0.05179894961013231,0.0296608827579398,0.0381438242653063
tarj_balanced_profit_compliance,5,22,0.04344867798259364,1.6267992424242428,0.04077654363620624,0.0382203177887029,0.0476438978241813
tarj_balanced_profit_compliance,6,22,0.057437279450056986,1.5612689393939396,0.05236874523748171,0.0478238706906651,0.0633777726245377
tarj_balanced_profit_compliance,7,22,0.07365484681713232,1.5321022727272726,0.042653285426688316,0.0635381912888163,0.086950674488806
