run_id,run_tag,treatment,seed,avg_price_increase,avg_market_price,avg_truthful_price,total_consumer_payment_increase,avg_markup,total_firm_profit,total_firm_profit_gain,mean_firm_regret,mean_relative_regret_br,mean_hour_max_regret,retry_used_rows,fallback_used_rows,valid_response_rows
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed4,sbert_direction_v2,tarj_guided_profit,4,33.80759523404762,67.44366361761905,33.63606838357143,35354595.00848098,1.8224404761904764,43285076.54394661,35329854.22205779,32783.52388490429,0.28542479509664315,126363.56990663653,0,0,840
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed3,sbert_direction_v2,tarj_guided_profit,3,40.74958514802678,74.38565353159822,33.63606838357143,42600332.09912749,1.9238095238095239,50311367.9794129,42356145.65752408,31000.913771521868,0.28742976469073245,114955.92083554191,0,0,840
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed5,sbert_direction_v2,tarj_guided_profit,5,42.72115864885714,76.35722703242857,33.63606838357143,44274124.9198547,2.088392857142857,52218582.608292386,44263360.28640357,31679.76316158162,0.28175283200161066,124096.51753987643,0,0,840
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed1,sbert_direction_v2,tarj_guided_profit,1,48.964994204750006,82.60106258832143,33.63606838357143,51491838.039375015,1.9539880952380955,59360454.27554789,51405231.95365907,34611.42645989327,0.26981543612544756,131214.19310849687,0,0,840
sbert_direction_v2_hourly_summer_high_daily_schedule_tarj_guided_profit_openai_gpt-4.1_temp0p2_seed2,sbert_direction_v2,tarj_guided_profit,2,37.09263664132143,70.72870502489286,33.63606838357143,39092254.24334738,1.8060714285714288,46741460.94394257,38786238.62205376,31730.651581398368,0.2792068780261085,122038.87259985163,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_default_openai_gpt-4.1_temp0p2_seed1,revised_v2,tarj_default,1,45.35506202429464,78.99113040786608,33.63606838357143,48011664.25686514,1.8962500000000002,55794277.762736514,47839055.440847695,35665.29941888228,0.30138605854743805,126666.8412524544,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_default_openai_gpt-4.1_temp0p2_seed2,revised_v2,tarj_default,2,18.84307133964881,52.479139723220236,33.63606838357143,19469990.244157203,1.365119047619048,27279418.64506478,19324196.323175963,31919.336835969745,0.24386281702347185,135471.58138592704,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_default_openai_gpt-4.1_temp0p2_seed3,revised_v2,tarj_default,3,31.551249816559523,65.18731820013095,33.63606838357143,33795617.39011042,1.994107142857143,41607404.58507712,33652182.2631883,38026.6302267136,0.2978624867087845,146677.82302498905,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_default_openai_gpt-4.1_temp0p2_seed4,revised_v2,tarj_default,4,48.7533938533869,82.38946223695832,33.63606838357143,50094920.17943131,2.174345238095238,57326786.77476041,49371564.45287159,26839.289146288447,0.27826910153558027,103381.90308147439,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_default_openai_gpt-4.1_temp0p2_seed5,revised_v2,tarj_default,5,46.80846363279762,80.44453201636904,33.63606838357143,50353632.35217589,1.9860119047619047,57946536.680174105,49991314.35828528,45638.214594992554,0.3106119012759079,157775.98713656826,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_profit_max_openai_gpt-4.1_temp0p2_seed5,revised_v2,tarj_profit_max,5,54.38310276328868,88.01917114686012,33.63606838357143,55762706.32700549,2.2199999999999998,62609652.28813259,54654429.96624377,23934.24994643373,0.26118241237800527,93619.34631244346,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_profit_max_openai_gpt-4.1_temp0p2_seed4,revised_v2,tarj_profit_max,4,56.17026050724404,89.80632889081546,33.63606838357143,59449656.11729635,2.330892857142857,67150655.99890836,59195433.67701953,38129.87651217865,0.30474168052944406,130414.81960492958,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_profit_max_openai_gpt-4.1_temp0p2_seed2,revised_v2,tarj_profit_max,2,60.033356736648805,93.66942512022024,33.63606838357143,63534461.61461237,2.8130952380952383,71279951.37666,63324729.054771185,38767.35428597885,0.2984420976736224,132855.61342206603,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_profit_max_openai_gpt-4.1_temp0p2_seed1,revised_v2,tarj_profit_max,1,53.980349024226186,87.61641740779763,33.63606838357143,57623389.47632359,2.207321428571429,65379752.443222225,57424530.121333405,39904.16088822401,0.2769972681788521,144919.72409088007,0,0,840
revised_v2_hourly_summer_high_daily_schedule_tarj_profit_max_openai_gpt-4.1_temp0p2_seed3,revised_v2,tarj_profit_max,3,56.19215019820833,89.82821858177977,33.63606838357143,59768277.305123545,2.338035714285714,67609347.4745724,59654125.152683586,41183.543595770454,0.3008975582333545,145626.54674558307,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_aggressive_profit_max_openai_gpt-4.1_temp0p2_seed4,sbert_direction_v1,tarj_aggressive_profit_max,4,58.85539489454167,92.4914632781131,33.63606838357143,62130840.35782361,2.2719642857142857,69866299.7929416,61911077.47105279,31894.733945403717,0.28641428273308805,113889.2551923561,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_aggressive_profit_max_openai_gpt-4.1_temp0p2_seed1,sbert_direction_v1,tarj_aggressive_profit_max,1,75.2116245646369,108.84769294820833,33.63606838357143,78338193.76910678,2.984583333333333,86258588.2036244,78303365.88173558,29280.97723591518,0.2803366815946744,99766.77810643047,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_aggressive_profit_max_openai_gpt-4.1_temp0p2_seed2,sbert_direction_v1,tarj_aggressive_profit_max,2,72.97603697704761,106.61210536061905,33.63606838357143,76408998.81029908,2.7017857142857142,84345701.72728808,76390479.40539926,33228.151067876126,0.2923589695863242,114808.76383225137,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_aggressive_profit_max_openai_gpt-4.1_temp0p2_seed3,sbert_direction_v1,tarj_aggressive_profit_max,3,57.56118976044643,91.19725814401787,33.63606838357143,59279373.716328666,3.012142857142857,67048421.376587,59093199.054698184,24766.36952462691,0.2713048248532126,95785.65314574412,0,0,840
sbert_direction_v1_hourly_summer_high_daily_schedule_tarj_aggressive_profit_max_openai_gpt-4.1_temp0p2_seed5,sbert_direction_v1,tarj_aggressive_profit_max,5,61.88499206579168,95.52106044936309,33.63606838357143,65187357.49876873,2.530119047619048,72992546.80508205,65037324.483193226,32841.21266324163,0.2879338602254263,111915.07850481916,0,0,840
