treatment,round,max_firm_regret,total_current_profit
tarj_aggressive_profit_max,51,12405.841835903995,80861.55059430008
tarj_aggressive_profit_max,52,12046.252217472,80861.55059430008
tarj_aggressive_profit_max,53,12129.126387345,80861.55059430008
tarj_aggressive_profit_max,54,13512.37710366,138279.92308096506
tarj_aggressive_profit_max,55,27903.096250166986,247154.02922673017
tarj_aggressive_profit_max,56,70474.39783394556,397167.1899698296
tarj_aggressive_profit_max,57,192116.68204651796,783372.5566132979
tarj_aggressive_profit_max,58,296343.88781587797,1216852.5381845855
tarj_aggressive_profit_max,59,257242.516372056,2558172.456970893
tarj_aggressive_profit_max,60,575511.91213986,4136513.5084680896
tarj_aggressive_profit_max,61,72854.87042977208,9453579.777771683
tarj_aggressive_profit_max,62,97995.63059790005,10984670.901082404
tarj_aggressive_profit_max,63,77755.75068239993,11234864.2627365
tarj_aggressive_profit_max,64,87072.93889433995,11290907.19976266
tarj_aggressive_profit_max,65,163106.7778401121,9366168.911181085
tarj_aggressive_profit_max,66,282536.73154668,7408401.234566437
tarj_aggressive_profit_max,67,527473.8261919802,2354080.674187422
tarj_aggressive_profit_max,68,343673.4639739891,1514449.2230940831
tarj_aggressive_profit_max,69,352784.5278751261,522613.12113945896
tarj_aggressive_profit_max,70,201196.1102352793,302683.7004600423
tarj_aggressive_profit_max,71,91899.97207374002,180657.58846723495
tarj_aggressive_profit_max,72,34995.69862042802,93037.25656710009
tarj_aggressive_profit_max,73,18328.77873636,93037.25656710009
tarj_aggressive_profit_max,74,15798.761580177004,83066.77050030004
tarj_aggressive_profit_max,75,13151.121617097,83066.77050030004
tarj_aggressive_profit_max,76,11870.671349097,80861.55059430008
tarj_aggressive_profit_max,77,10805.948963271005,80861.55059430008
tarj_aggressive_profit_max,78,10648.628505207,121765.99340849774
tarj_aggressive_profit_max,79,20975.165168170497,222002.35772924256
tarj_aggressive_profit_max,80,49001.61651420752,377942.40294188855
tarj_aggressive_profit_max,81,96812.58628866,749132.57154489
tarj_aggressive_profit_max,82,173882.70327663,1147119.488409053
tarj_aggressive_profit_max,83,276571.35864292807,1691974.2185555436
tarj_aggressive_profit_max,84,301719.65846296825,3744007.971898428
tarj_aggressive_profit_max,85,130644.55658474984,6763483.484733582
tarj_aggressive_profit_max,86,130644.55658474984,9605138.834138958
tarj_aggressive_profit_max,87,137052.5027020499,10143324.862605361
tarj_aggressive_profit_max,88,143772.3059028751,10115743.699059106
tarj_aggressive_profit_max,89,129419.35731821996,8551376.99132052
tarj_aggressive_profit_max,90,413379.23509188014,4129470.3338493775
tarj_aggressive_profit_max,91,270444.35046691203,2291860.2371072215
tarj_aggressive_profit_max,92,315859.57203710417,930996.1532139439
tarj_aggressive_profit_max,93,259574.7539126101,515926.97250245296
tarj_aggressive_profit_max,94,188358.8404675224,301177.36484851944
tarj_aggressive_profit_max,95,88691.17069912807,178696.11833806318
tarj_aggressive_profit_max,96,34181.85158257198,93037.25656710009
tarj_aggressive_profit_max,97,18627.800025084,93037.25656710009
tarj_aggressive_profit_max,98,16254.345902148005,83066.77050030004
tarj_aggressive_profit_max,99,13387.102304193004,83066.77050030004
tarj_aggressive_profit_max,100,12058.894039995,80861.55059430008
tarj_aggressive_profit_max,101,10496.926634931004,80861.55059430008
tarj_aggressive_profit_max,102,9668.751498516003,80861.55059430008
tarj_aggressive_profit_max,103,21114.145858327196,122548.40361916891
tarj_aggressive_profit_max,104,30291.075089184007,227297.53229403065
tarj_aggressive_profit_max,105,49515.61350803545,370791.3161353395
tarj_aggressive_profit_max,106,110315.843196756,711713.0216600599
tarj_aggressive_profit_max,107,172926.81527636398,1085767.108258328
tarj_aggressive_profit_max,108,199437.33952098005,1510955.2361406197
tarj_aggressive_profit_max,109,349813.9885970279,3129236.258089008
tarj_aggressive_profit_max,110,381815.1214212604,6571728.534163715
tarj_aggressive_profit_max,111,425789.43955479015,6749266.02772872
tarj_aggressive_profit_max,112,426621.4523491501,6744592.0305135
tarj_aggressive_profit_max,113,373565.8030771804,6146253.628602529
tarj_aggressive_profit_max,114,348226.81101537606,3076414.501657722
tarj_aggressive_profit_max,115,305494.363921836,1524154.7796648757
tarj_aggressive_profit_max,116,324376.39253526006,931841.7511772399
tarj_aggressive_profit_max,117,292725.7870534741,565299.6998353201
tarj_aggressive_profit_max,118,102704.28945925394,301743.5795164029
tarj_aggressive_profit_max,119,55560.36509625604,154289.31307432306
tarj_aggressive_profit_max,120,21944.747941676993,93037.25656710009
tarj_aggressive_profit_max,121,17383.758625770002,93037.25656710009
tarj_aggressive_profit_max,122,15573.085135857002,83066.77050030004
tarj_aggressive_profit_max,123,13724.217571473002,83066.77050030004
tarj_aggressive_profit_max,124,13249.446903387,83066.77050030004
tarj_aggressive_profit_max,125,13219.9493175,83066.77050030004
tarj_aggressive_profit_max,126,16258.577335479002,126731.77732955525
tarj_aggressive_profit_max,127,25155.871152795,213714.61459899007
tarj_aggressive_profit_max,128,51497.7831755475,359639.21335365454
tarj_aggressive_profit_max,129,77079.0245526,734611.88238844
tarj_aggressive_profit_max,130,136422.64011912607,1123334.134125518
tarj_aggressive_profit_max,131,163838.87003309408,1626386.349255064
tarj_aggressive_profit_max,132,300780.18930253806,2425981.0960682295
tarj_aggressive_profit_max,133,246759.31453914032,6477989.406356039
tarj_aggressive_profit_max,134,381478.7758235404,6573598.494561263
tarj_aggressive_profit_max,135,376964.6638541405,6598695.331475724
tarj_aggressive_profit_max,136,377885.1886479003,6593577.54512454
tarj_aggressive_profit_max,137,251099.78905580423,6520783.470038123
tarj_aggressive_profit_max,138,228045.40442789404,2420082.05092373
tarj_aggressive_profit_max,139,222334.51615588207,1545463.373039744
tarj_aggressive_profit_max,140,231080.843953668,1041147.760312014
tarj_aggressive_profit_max,141,188477.91915492597,684589.716731664
tarj_aggressive_profit_max,142,123103.67048040002,364287.16107671993
tarj_aggressive_profit_max,143,44802.59880796802,186394.17661692438
tarj_aggressive_profit_max,144,20634.97773374399,105433.1628241729
tarj_aggressive_profit_max,145,16884.829468467004,83066.77050030004
tarj_aggressive_profit_max,146,14036.049193707,83066.77050030004
tarj_aggressive_profit_max,147,12470.455595466005,80861.55059430008
tarj_aggressive_profit_max,148,11225.938400423998,80861.55059430008
tarj_aggressive_profit_max,149,10501.140575772,80861.55059430008
tarj_aggressive_profit_max,150,12252.735318681003,90944.9491680343
tarj_aggressive_profit_max,151,27738.26558588251,142228.09789763924
tarj_aggressive_profit_max,152,35802.888016590005,236314.4648191811
tarj_aggressive_profit_max,153,133328.80347037502,423301.641586136
tarj_aggressive_profit_max,154,141475.26655633806,745375.232155325
tarj_aggressive_profit_max,155,486769.8165264,1491330.4765663198
tarj_aggressive_profit_max,156,508194.40681363194,2016999.87685484
tarj_aggressive_profit_max,157,484520.0655817002,3323293.6329124197
tarj_aggressive_profit_max,158,305025.29826222,4506985.006485272
tarj_aggressive_profit_max,159,306870.52272402,4518742.544111447
tarj_aggressive_profit_max,160,304496.33391650394,4503614.512365769
tarj_aggressive_profit_max,161,299918.36736160796,4259908.126466289
