treatment,load_quartile,avg_markup,avg_price_increase,avg_market_price,avg_load_mw
tarj_compliance,Q4 high,1.4722380952380953,23.70865992197619,69.44272875054762,6379.971428571429
tarj_compliance,Q3,1.091904761904762,3.3092306963380955,34.82181260205238,5570.997619047619
tarj_compliance,Q2,1.013,0.4421688939142857,29.591321039628575,4583.354761904762
tarj_compliance,Q1 low,1.0003809523809524,0.004590621714285737,28.153061276000003,3789.6214285714286
tarj_balanced_profit_compliance,Q1 low,1.0326666666666666,0.6546837413428575,28.803154395628574,3789.6214285714286
tarj_balanced_profit_compliance,Q2,1.1301428571428571,3.358432479604762,32.50758462531905,4583.354761904762
tarj_balanced_profit_compliance,Q3,1.5056190476190476,14.011574591159524,45.52415649687381,5570.997619047619
tarj_balanced_profit_compliance,Q4 high,2.6946190476190477,83.26723260199999,129.00130143057143,6379.971428571429
tarj_guided_profit,Q1 low,1.0234761904761904,0.9898200370857148,29.13829069137143,3789.6214285714286
tarj_guided_profit,Q3,1.8763809523809525,30.57024140287381,62.08282330858809,5570.997619047619
tarj_guided_profit,Q4 high,3.5723809523809527,123.617158126,169.35122695457142,6379.971428571429
tarj_guided_profit,Q2,1.2035238095238097,7.491556335642857,36.640708481357144,4583.354761904762
tarj_default,Q1 low,1.0545238095238094,0.44286883774285735,28.591339492028574,3789.6214285714286
tarj_default,Q2,1.2124761904761905,5.42623741895476,34.57538956466905,4583.354761904762
tarj_default,Q3,1.889904761904762,29.102934860890475,60.615516766604756,5570.997619047619
tarj_default,Q4 high,3.3757619047619047,118.0769514157619,163.81102024433332,6379.971428571429
tarj_profit_max,Q1 low,1.137,0.7502952169714289,28.898765871257144,3789.6214285714286
tarj_profit_max,Q2,1.4087142857142856,8.32774762440238,37.47689977011667,4583.354761904762
tarj_profit_max,Q4 high,4.638142857142857,175.1350285342857,220.86909736285716,6379.971428571429
tarj_profit_max,Q3,2.3436190476190477,40.39430400803332,71.90688591374762,5570.997619047619
tarj_aggressive_profit_max,Q4 high,5.5947619047619055,196.8396203964286,242.57368922499998,6379.971428571429
tarj_aggressive_profit_max,Q3,2.7246190476190475,52.6047641837,84.11734608941428,5570.997619047619
tarj_aggressive_profit_max,Q2,1.4185714285714284,10.907891284542856,40.057043430257146,4583.354761904762
tarj_aggressive_profit_max,Q1 low,1.0625238095238094,0.8391147453000005,28.98758539958572,3789.6214285714286
