treatment,n_runs,avg_price_increase,avg_market_price,avg_truthful_price,avg_consumer_payment_increase,avg_markup,avg_total_firm_profit,avg_total_firm_profit_gain,mean_firm_regret,mean_relative_regret_br,total_retry_used_rows,total_fallback_used_rows,total_valid_response_rows,mean_hour_max_regret
tarj_compliance,5,6.8661625334857135,40.50223091705714,33.63606838357143,7354933.510456455,1.1443809523809525,15284133.521277403,7328911.199388581,39056.48473218279,0.2705993180531912,0,0,4200,177427.75144351885
tarj_balanced_profit_compliance,5,25.322980853526783,58.95904923709821,33.63606838357143,26794964.413556777,1.5907619047619048,34727878.66248026,26772656.34059144,35189.6294887876,0.2678241289093511,0,0,4200,174741.0417408892
tarj_guided_profit,5,40.66719397540059,74.30326235897203,33.63606838357143,42562628.86203711,1.918940476190476,50383388.47022847,42428166.14833965,32361.25577185988,0.2807259411881084,0,0,4200,161087.1106717678
tarj_default,5,38.2622481333375,71.89831651690892,33.63606838357143,40345164.88454799,1.8831666666666669,47990884.889562584,40035662.567673765,35617.75404456932,0.2863984730182365,0,0,4200,199352.5857541811
tarj_profit_max,5,56.15184384592321,89.78791222949465,33.63606838357143,59227698.16807227,2.3818690476190474,66805871.91629912,58850649.5944103,36383.83704571714,0.2884522033986557,0,0,4200,183939.7728766892
tarj_aggressive_profit_max,5,65.29784765249286,98.93391603606428,33.63606838357143,68268952.83046538,2.700119047619048,76102311.58110462,68147089.2592158,30402.288887412713,0.2836697237985451,0,0,4200,153315.93819202608
