treatment,bin,n,mean_reasoning_profit_orientation,mean_clearing_price,sem_clearing_price,x_min,x_max
tarj_compliance,0,22,-0.055206189573221744,41.74299217504167,0.9623840691030066,-0.0825247407127341,-0.0438402947603039
tarj_compliance,1,22,-0.03548394293603371,38.956725308979166,1.0065817445404923,-0.0434054874674507,-0.0308112588938028
tarj_compliance,2,22,-0.023546874692421536,40.145092548765156,1.0412554628198265,-0.0291033726569162,-0.0185801084976975
tarj_compliance,3,22,-0.014049714436907924,40.872867096856055,1.0155789678527514,-0.0178153974050946,-0.0102016372637073
tarj_compliance,4,21,-0.005495512098575128,40.3745716435992,0.9646520873524003,-0.0099423085955762,-0.0026389110399155
tarj_compliance,5,22,0.0022542655917189634,41.39514073904545,0.9315434193257492,-0.0025204824159947,0.0067182311731193
tarj_compliance,6,22,0.01217406219079329,39.42749284031818,1.2249541083263695,0.0068475979361789,0.0192961458400007
tarj_compliance,7,22,0.032828145791818156,41.097162289604164,1.3115182381256139,0.019548814054012,0.0479850275471152
tarj_balanced_profit_compliance,0,22,-0.022707707782596072,61.55575543475095,2.3942627567190375,-0.0502268916782497,-0.0074902635779883
tarj_balanced_profit_compliance,1,22,0.0012764576993866228,59.365862207589956,2.199565640523627,-0.0065086755868417,0.006124332577762
tarj_balanced_profit_compliance,2,22,0.013164212181200653,59.1344585268286,2.538386066065943,0.0065814158971743,0.018945708123532
tarj_balanced_profit_compliance,3,22,0.024090172614913752,62.89548691304072,2.8071578064973637,0.019067361324373,0.029394741276881
tarj_balanced_profit_compliance,4,21,0.03329149824531423,57.98467407826091,2.8074525000175887,0.0296608827579398,0.0381438242653063
tarj_balanced_profit_compliance,5,22,0.04344867798259364,57.33124330696401,2.7301160611428545,0.0382203177887029,0.0476438978241813
tarj_balanced_profit_compliance,6,22,0.057437279450056986,55.286225231784094,2.741248457032305,0.0478238706906651,0.0633777726245377
tarj_balanced_profit_compliance,7,22,0.07365484681713232,58.07439841761932,2.681099718086086,0.0635381912888163,0.086950674488806
tarj_guided_profit,0,22,0.010504871258577365,74.019459199268,3.0927224612960926,-0.0335568939235303,0.0286280608075039
tarj_guided_profit,1,22,0.03491130887998067,74.76005108611459,2.2360092642514413,0.0287615607878822,0.041034471604275
tarj_guided_profit,2,22,0.0461272246879259,81.45675773123769,2.6119355584731596,0.0425181442496302,0.0505365685877293
tarj_guided_profit,3,22,0.054343663021614086,78.99011314183238,3.6392888165827997,0.0508499867606601,0.058122409275287
tarj_guided_profit,4,21,0.06197945815398983,73.70116656419843,3.666023857844487,0.0592581515851639,0.0650842580695715
tarj_guided_profit,5,22,0.07038575810910895,69.91985032245644,2.729232418184676,0.0658476841226524,0.0753379484388135
tarj_guided_profit,6,22,0.08008198274991077,72.170791153571,2.8587810067658794,0.0754234589683999,0.0860240118121737
tarj_guided_profit,7,22,0.09887675208007213,69.38054168242613,3.257554754013276,0.0864024479320452,0.13539799862014
tarj_default,0,22,0.01764859813897063,64.9512549035748,4.202360292045908,-0.0310166776458009,0.0396931190940996
tarj_default,1,22,0.04770405363568948,77.1782473901553,3.8634860143472842,0.0404815162365985,0.0528543643208641
tarj_default,2,22,0.056861985761292866,72.7350870641373,4.394464082263336,0.0539719404299382,0.0598262968573587
tarj_default,3,22,0.0633671700193018,74.40335641916855,3.8226497699400177,0.0600774724134332,0.0666194680592169
tarj_default,4,21,0.0704254726779352,75.1355664345734,4.938921731914126,0.0676265479891174,0.0737072834053576
tarj_default,5,22,0.07691864199739215,70.02687767702461,4.4743675017028774,0.0741444263976566,0.0808762591992937
tarj_default,6,22,0.08656121245308367,64.96038766855207,4.858589151485311,0.081581346393625,0.0923920596959208
tarj_default,7,22,0.10591861558782946,75.94290230161552,3.9850880523057075,0.0925273973738836,0.1274483769411479
tarj_profit_max,0,22,0.022814368168635076,87.35749907874907,5.159268511314808,8.758371066652781e-05,0.0371206212629969
tarj_profit_max,1,22,0.042367150041129155,94.36557378469602,4.28943946854415,0.0375640842870111,0.048669925141271
tarj_profit_max,2,22,0.05335425016015733,98.0536107979678,3.3402611440496517,0.0487356165528202,0.0581116219478889
tarj_profit_max,3,22,0.06209191325231946,89.13811485686837,4.813280707967696,0.0581154551038646,0.0674879366992996
tarj_profit_max,4,21,0.07109311370342783,91.83762142270238,5.188180653314974,0.0678545645275234,0.0748726856251342
tarj_profit_max,5,22,0.0779683013026826,87.3962934514394,5.725918304349021,0.0749789713095165,0.0811215200580634
tarj_profit_max,6,22,0.08515938925950266,85.47470296499432,5.080437088386145,0.0813623801012773,0.0893239808605245
tarj_profit_max,7,22,0.10246581676460581,84.77305007823105,5.079512362646876,0.0902184836128059,0.1448522532726461
tarj_aggressive_profit_max,0,22,0.036287149543868996,104.40735874921401,3.6455928694453696,0.0151824597305835,0.0448982108096845
tarj_aggressive_profit_max,1,22,0.04961110151502597,99.96109214993747,4.2655160402428285,0.0460119172417422,0.0531526655024219
tarj_aggressive_profit_max,2,22,0.05620228439746451,94.53080381464393,3.0311204676183348,0.0533349140765281,0.0596165989763984
tarj_aggressive_profit_max,3,22,0.06268919710154602,101.60831587025946,3.7703837891309777,0.0596715685875955,0.0663409240613666
tarj_aggressive_profit_max,4,21,0.0686328000509093,96.45649278648015,4.028035503043758,0.0663833832016718,0.071944851284085
tarj_aggressive_profit_max,5,22,0.07547067262900867,97.58143522941288,2.712924470641482,0.0720161098621624,0.0795342364139156
tarj_aggressive_profit_max,6,22,0.08384286148116121,98.18320201572159,4.354354992881433,0.0796886333349662,0.0898477399784675
tarj_aggressive_profit_max,7,22,0.102899336837441,98.63001752513637,4.53377341624249,0.0907703705507217,0.1229230572223845
